Laptop,Status,Brand,Model,CPU,RAM,Storage,Storage type,GPU,Screen,Touch,Final Price,release_year,Processor Series
"MSI Prestige 14 Evo B13M-282ES Intel Evo Core i5-13500H/16GB/512GB SSD/14""",New,MSI,Prestige,Intel Evo Core i5,16,512,SSD,,14.0,No,1339.01,2022,H
"HP EliteBook 840 G3 Intel Core i5-6300U/16GB/512GB SSD/14""",Refurbished,HP,EliteBook,Intel Core i5,16,512,SSD,,14.0,No,312.83,2016,U
HP Victus 16-d1030ns Intel Core i7-12700H/16GB/1TB SSD/RTX 3050Ti/16.1'',New,HP,Victus,Intel Core i7,16,1000,SSD,RTX 3050,16.1,No,1299.01,2022,H
"HP Pavilion 14-ec0011ns AMD Ryzen 7 5700U/16GB/512GB SSD/14""",New,HP,Pavilion,AMD Ryzen 7,16,512,SSD,,14.0,No,899.01,2021,U
"MSI Creator M16 B13VE-680XES Intel Core i7-13700H/16GB/1TB SSD/RTX 4050/16""",New,MSI,Creator,Intel Core i7,16,1000,SSD,RTX 4050,16.0,No,1749.0,2022,H
"ASUS ROG Strix Scar 18 2023 G834JY-N5012 Intel Core i9-13980HX/32GB/1TB SSD/RTX 4090/18""",New,Asus,ROG,Intel Core i9,32,1000,SSD,RTX 4090,18.0,No,3699.01,2023,H
"ASUS Zenbook 14 OLED UX3402ZA-KM020W Intel Evo Core i5-1240P/16GB/512GB SSD/14""",New,Asus,ZenBook,Intel Evo Core i5,16,512,SSD,,14.0,No,1199.0,2022,P
"ASUS Vivobook 17 F1704VA-AU084W Intel Core i7-1355U/16GB/512GB SSD/17.3""",New,Asus,VivoBook,Intel Core i7,16,512,SSD,,17.3,No,999.0,2023,U
"Apple MacBook Air Apple M1/16GB/256GB SSD/GPU Hepta Core/13.3"" Gris Espacial",New,Apple,MacBook Air,Apple M1,16,256,SSD,,13.3,No,1349.0,2020,Unknown
"PcCom Revolt 3060 Intel Core i7-12700H/32GB/500GB SSD/RTX 3060/15.6""",New,PcCom,Revolt,Intel Core i7,32,500,SSD,RTX 3060,15.6,No,1549.0,2022,H
"HP OMEN 16-n0009ns AMD Ryzen 7 6800H/16GB/1TB SSD/RTX 3060/16.1""",New,HP,Omen,AMD Ryzen 7,16,1000,SSD,RTX 3060,16.1,No,1699.01,2022,H
"ASUS TUF Dash F15 FX517ZM-HN002 Intel Core i7-12650H/16GB/512GB SSD/RTX 3060/15.6""",New,Asus,TUF,Intel Core i7,16,512,SSD,RTX 3060,15.6,No,1699.0,2022,H
"ASUS Chromebook CX1500CKA-EJ0181 Intel Celeron N4500/8GB/64GB eMMC/15.6""",New,Asus,Chromebook,Intel Celeron,8,64,eMMC,,15.6,No,382.0,Unknown,Unknown
"Alurin Go Intel Pentium N4200/8GB/128GB SSD/nOS/14.1""",New,Alurin,Go,Intel Pentium,8,128,SSD,,14.1,No,309.91,Unknown,Unknown
"HP 255 G8 AMD Ryzen 3 3250U/8 GB/256GB SSD/15.6""",New,HP,255,AMD Ryzen 3,8,256,SSD,,15.6,No,379.0,2019,U
"ASUS ExpertBook B7 Flip B7402FBA-L90638X Intel Core i7-1260P/16GB/512GB SSD/14"" Táctil",New,Asus,ExpertBook,Intel Core i7,16,512,SSD,,14.0,Yes,2109.0,2022,P
"MSI Prestige 16 A12UD-220ES Intel Core i7-1280P/16GB/1TB SSD/RTX 3050Ti/16""",New,MSI,Prestige,Intel Core i7,16,1000,SSD,RTX 3050,16.0,No,1889.0,2021,P
